id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29925163,Loft : Nuñez / Vicente Lopez - Diseño & Calidad,198688551,Ana & Jose,,Nuñez,-34.54549,-58.46935,Entire home/apt,2227,7,5,2020-09-29,0.19,3,0
29925320,ALQUILER Turístico,114399420,Monica,,Balvanera,-34.60879,-58.40849,Entire home/apt,1343,7,0,,,8,365
29925428,HABITACIÒN CON BAÑO EN SUITE en Casona tanguera,114399420,Monica,,Balvanera,-34.60807,-58.40982,Private room,1343,6,0,,,8,89
29926252,Apartamento en Palermo con amenities,3469227,Federico,,Palermo,-34.58207,-58.42434,Entire home/apt,4205,3,0,,,124,360
29929425,"Habitación con baño privado. Retiro, CABA.",175336593,Marcelo,,Retiro,-34.5981,-58.3741,Private room,1252,1,11,2020-03-09,0.40,1,90
29934973,"En el corazón de Recoleta, excelente departamento",42720967,Mariano,,Recoleta,-34.59515,-58.39226,Entire home/apt,1033,15,4,2020-02-15,0.15,1,363
29935922,Bright Nuñez home with amazing  balcony. 100 mega,3155538,Jorge & Cynthia,,Nuñez,-34.54943,-58.45436,Entire home/apt,3326,3,16,2020-11-23,0.65,2,0
29937778,Amplio Studio 1 o 2 personas AC/Pool/Gym/Laundry,225091102,Veronica,,Palermo,-34.58293,-58.44413,Entire home/apt,8955,3,21,2019-11-03,0.76,1,86
29938320,Comfortable room / private bathroom in Recoleta.,225093356,Alejandro,,Recoleta,-34.5941,-58.405,Private room,1700,3,12,2020-01-31,0.43,1,364
29939860,"El Salvador, Great location, New and Sunny.",263437806,Patricia Michelle,,Palermo,-34.58457,-58.43438,Entire home/apt,2917,1,160,2021-02-21,5.76,2,161
29939865,RECOLETA/Bright and comfy apt with balcony 2/3 pax,10581724,Melisa,,Recoleta,-34.58842,-58.39569,Entire home/apt,2684,2,24,2020-03-07,0.92,3,179
29940337,Tango experience/theaters.The city does not sleep,160508644,Maria,,San Nicolas,-34.60542,-58.38682,Entire home/apt,2684,2,59,2020-03-14,2.19,1,365
29941081,Departamento tipo loft. Monoambiente con terraza.,222418028,Clara,,Nuñez,-34.55111,-58.46418,Entire home/apt,2686,1,2,2019-08-25,0.07,2,365
29942210,Monoambiente  próximo al Obelisco,177342181,Gilda,,San Nicolas,-34.60154,-58.38872,Entire home/apt,950,4,15,2020-03-12,0.56,3,0
29942416,Habitación individual en el centro de la ciudad,225120566,Natalia,,San Nicolas,-34.60799,-58.38992,Private room,550,1,9,2019-08-03,0.32,1,146
29942528,Apartamento Peña de Barrio Norte-Recoleta,141061369,Sandra,,Recoleta,-34.58717,-58.40334,Entire home/apt,4473,5,0,,,1,268
29943551,Un cálido rincón en Belgrano,224548313,Monica,,Colegiales,-34.57003,-58.44509,Private room,2814,2,9,2019-12-21,0.33,1,89
29944050,Apartamento Belmonte lll semipiso de categoria,94414511,Sergio,,Liniers,-34.64096,-58.5176,Entire home/apt,4000,5,8,2019-11-17,0.29,6,89
29945448,Departamento nuevo y luminoso en Palermo hollywood,225144742,Martina,,Palermo,-34.58253,-58.43481,Entire home/apt,2686,1,52,2020-04-15,1.88,1,89
29945474,Viví mi Casa  - Hermosa habitación privada.,198381308,Viviana,,Boedo,-34.62435,-58.41299,Private room,890,1,52,2020-03-16,1.91,1,364
29946200,Recoleta Premium apartment free parking security 5,29435081,Rodo,,Recoleta,-34.59005,-58.39562,Entire home/apt,2237,15,12,2020-10-03,0.45,3,180
29947566,Recoleta Premium apartment free parking security 4,29435081,Rodo,,Recoleta,-34.58885,-58.39543,Entire home/apt,2237,20,27,2021-01-30,0.99,3,215
29951456,Espacio Esférico,225186470,Maria Del Huerto,,San Cristobal,-34.62143,-58.40204,Private room,685,3,0,,,1,179
29954687,Ambiente y medio zona Centro,76233796,Karin Amalia,,San Nicolas,-34.60851,-58.38296,Entire home/apt,3131,1,2,2019-01-31,0.07,1,180
29954702,Apartamento 65 m2 edificio premium seguridad 24 hs,176181334,Fernando,,San Telmo,-34.62125,-58.36927,Entire home/apt,12000,1,43,2020-03-16,1.56,1,89
29955828,Práctico Departamento en la Ciudad de Buenos Aires,225014834,Manuel,,Almagro,-34.6069,-58.41634,Entire home/apt,1521,6,9,2020-05-23,0.33,2,365
29960390,Cálida Casa en el Corazón de Palermo Hollywood,3595203,Sol,,Palermo,-34.58172,-58.43549,Entire home/apt,3364,2,43,2020-03-08,1.71,1,103
29961216,Luminoso y tranquilo Dpto en Cañitas,73209747,Soledad,,Palermo,-34.57435,-58.43421,Entire home/apt,2237,3,1,2019-04-01,0.04,1,358
29962460,1.6-Palermo Queens Serrano Studio / Palermo SOHO,138995657,Valeria,,Villa Crespo,-34.59527,-58.44048,Entire home/apt,2239,2,69,2021-02-16,2.60,4,191
29963672,Panorámico  monoambiente con amplio balcón terraza,177342181,Gilda,,Recoleta,-34.59658,-58.39561,Entire home/apt,950,7,14,2020-02-23,0.55,3,0
29963969,☀️Just Blocks from San Telmo Market w Rooftop Pool!,138634630,Matias,,San Telmo,-34.62569,-58.37344,Entire home/apt,2955,2,22,2021-01-19,0.83,1,304
29964437,"Hermoso, cómodo y amplio departamento en Palermo",75176857,Gabriela,,Palermo,-34.57798,-58.43328,Entire home/apt,4000,3,11,2020-03-04,0.41,1,72
29965248,Stunning Boutique Apartment in Palermo Hollywwod,50192055,Sebas,,Palermo,-34.57801,-58.43352,Entire home/apt,3298,3,46,2020-02-29,1.68,1,180
29966804,Departamento Rama!,225310778,Ramiro,,Recoleta,-34.59185,-58.40785,Private room,890,1,0,,,1,364
29966925,"Dos dormitorios, vista panorámica en Caballito",81348714,Graciela,,Caballito,-34.6237,-58.43576,Entire home/apt,4477,7,0,,,1,88
29967067,Habitación Privada DOBLE con Baño Privado.,140656316,Gonzalo,,Palermo,-34.57518,-58.43222,Hotel room,5176,1,0,,,3,271
29975631,Garay & Chacabuco - Luxury,155248477,ApartsBA,,San Telmo,-34.6254,-58.37559,Entire home/apt,5943,3,3,2020-02-09,0.17,19,90
29977210,Luminosa y cómoda habitación con balcón.,90335948,Georgia,,Belgrano,-34.56574,-58.46272,Private room,895,2,0,,,1,361
29977554,Departamento super céntrico,225373518,Maria Luz,,San Nicolas,-34.59957,-58.37686,Entire home/apt,2505,2,2,2019-12-11,0.13,1,90
29977628,Alquilo departamento entero,50370153,Patricio,,Constitucion,-34.62184,-58.39048,Entire home/apt,5815,1,1,2019-01-01,0.04,2,365
29978132,Loft Recoleta Pool & Garden Dpto c/ pileta y patio,134949216,Juan Jose,,Balvanera,-34.59836,-58.41069,Entire home/apt,2000,1,64,2020-09-09,2.34,1,53
29978315,Casa Dharma,131356093,Noelia,,Chacarita,-34.5862,-58.45279,Private room,890,3,3,2020-02-25,0.15,2,364
29983290,Hermoso Departamento en Palermo Queen,157508804,Alan Maximiliano,,Villa Crespo,-34.59494,-58.44018,Entire home/apt,1612,5,68,2020-03-23,2.69,1,361
29985874,Cómodo y luminoso depto a estrenar p/4. C/Piscina.,21896523,Hernán,,Recoleta,-34.58443,-58.40358,Entire home/apt,1930,3,30,2020-02-26,1.08,1,115
29987432,Clásico departamento en Retiro para 3 personas,174197440,Soledad,,Retiro,-34.59283,-58.37999,Entire home/apt,1960,2,29,2020-01-05,1.06,1,365
29988345,Habitación en increíble duplex en Palermo Soho,8281466,Melisa,,Palermo,-34.58464,-58.42453,Private room,1968,1,7,2019-03-11,0.25,1,365
29994189,Brand New & Stylish Rodriguez Peña & Santa Fe,194945111,Maria Eugenia,,Recoleta,-34.59548,-58.39253,Entire home/apt,2684,1,80,2021-01-18,2.88,3,364
29994927,Oasis en la Ciudad,225143782,Ricardo,,Caballito,-34.60738,-58.45564,Entire home/apt,6268,180,0,,,1,358
30002088,Increíble departamento de categoría y diseño,145874538,Rita,,Palermo,-34.57652,-58.42484,Entire home/apt,20129,90,3,2018-12-22,0.11,1,364
30003211,Habitación amplia con buena ubicación I,225536196,Celina,,Balvanera,-34.60658,-58.40633,Private room,890,2,27,2020-03-17,1.00,3,365
30004307,Ruggieri tower 2 Palermo,15466789,Juan,,Palermo,-34.58001,-58.40786,Entire home/apt,11630,10,0,,,55,88
30008780,casa oso，zona outlet，cerca palermo,172305369,Hongqiang,,Villa Crespo,-34.59259,-58.43846,Entire home/apt,2500,30,1,2019-04-20,0.04,1,89
30011204,Ecrin de verdure au cœur de Recoleta,5184726,Anne,,Recoleta,-34.59175,-58.38944,Entire home/apt,9788,4,1,2018-12-14,0.04,1,177
30011420,Little England Apartment,225588188,Julieta,,Recoleta,-34.58571,-58.39482,Entire home/apt,1521,2,10,2020-03-31,0.36,3,180
30011819,Lovely Spacious Apartment for 4 close to the Park,225591392,Daniel,,Caballito,-34.60785,-58.44021,Entire home/apt,1791,2,10,2021-01-10,0.37,1,162
30011984,Gurruchaga,225592199,Diego,,Villa Crespo,-34.59859,-58.44332,Private room,890,1,0,,,1,363
30012049,Casa Frida Kahlo,225591974,Esteban,,San Telmo,-34.62393,-58.3693,Private room,1789,2,0,,,1,89
30014194,Departamento de una Habitación en Recoleta #214,221941387,Alternativa,,Retiro,-34.59327,-58.38449,Entire home/apt,2507,90,0,,,27,363
30014693,Colegiales Home with a View,1785284,Federico,,Palermo,-34.57532,-58.44372,Entire home/apt,1200,8,1,2019-01-08,0.04,1,0
30016742,Lovely apartment with terrace for 3,33310266,Sofia,,San Telmo,-34.62533,-58.37603,Entire home/apt,2684,2,47,2020-03-09,1.72,1,365
30024064,Piso estilo Francés para varones en hab cuádruple,114390879,Alejandro,,Balvanera,-34.62001,-58.41143,Shared room,579,3,0,,,1,365
30029431,Spacious Studio in Palermo/Recoleta + SwimmingPool,132838002,Juan,,Recoleta,-34.58898,-58.40381,Entire home/apt,1252,28,8,2019-05-04,0.29,43,365
30032157,Moderno y luminoso departamento en Villa Urquiza,1668398,Graciela,,Villa Urquiza,-34.57095,-58.48377,Private room,1857,4,1,2018-12-13,0.04,1,88
30035469,Unbeatable Buenos Aires Location/ Studio,34522998,Loli,,Recoleta,-34.58699,-58.38866,Entire home/apt,4026,2,14,2020-01-04,0.51,1,180
30037741,Buenos Aires Classic Apartment for 4,4007816,Nicolas,,Monserrat,-34.6092,-58.38031,Entire home/apt,3310,1,19,2019-11-19,0.69,8,0
30037856,Departamento en zona alto palermo. Amplio y calido,41755253,Ernes,,Recoleta,-34.59209,-58.41226,Entire home/apt,2415,5,12,2020-04-03,0.45,2,83
30038745,DESDE LO ALTO,204854693,Bruna Teresa,,Recoleta,-34.59384,-58.40393,Entire home/apt,1400,4,0,,,2,365
30038940,La casa de PatoCocina c/ desayuno incluido,3482334,Francisco,,Palermo,-34.58694,-58.41949,Private room,2237,2,0,,,1,363
