id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
46193645,Downtown Condo with Stunning View- 411,359438260,Austin,,Downtown,39.95533,-82.99292,Entire home/apt,90,1,21,2021-02-07,6.63,34,89
46195153,Polaris Getaway-1bdm Queen Bed Balcony Xbox 360,175746776,Jakki,,Far North,40.14872,-82.99583,Entire home/apt,91,2,12,2021-02-19,3.33,5,354
46296079,NEW HISTORIC FLAT IN CHARMING SHORT NORTH,158439641,Gibson & Hetherington,,Near North/University,39.97988,-83.00375,Entire home/apt,84,2,8,2021-02-07,2.53,14,359
46394199,Spacious 1bd Suite ♥🎶 Inspired by the BEATLES,325932974,Evan (Tailwind STR),,Near North/University,39.9873,-83.00257,Entire home/apt,55,1,14,2021-02-12,4.20,18,73
46396921,3 Bedroom Apartment Near Short North,375295572,Chloe,,Near North/University,39.99186,-82.99977,Entire home/apt,150,30,0,,,14,365
46397711,Big Blue House with Fenced in Backyard,375295572,Chloe,,Near South,39.94292,-82.97943,Entire home/apt,200,2,0,,,14,365
46414770,Modern 3 Bedroom Home with Large Fenced In Yard,375295572,Chloe,,South Linden,39.98027,-82.98819,Entire home/apt,150,30,0,,,14,365
46428480,L71 Angelou at LX Loft - Private Keypad Room,312283,S.K.,,Near South,39.94383,-82.97454,Private room,27,1,14,2021-02-12,4.52,23,88
46429426,L73 Poe at LX Loft - Private Keypad Room,312283,S.K.,,Near South,39.94554,-82.9762,Private room,27,1,7,2021-02-08,2.23,23,89
46429507,Cozy private bedroom with queen bed and workspace,65250167,Marina,,Near South,39.93596,-82.98623,Private room,45,1,3,2021-02-16,0.97,2,365
46430526,Cozy little queen bedroom with workspace,65250167,Marina,,Near South,39.93486,-82.98433,Private room,43,1,7,2021-02-20,2.23,2,178
46431727,L74 Hemingway at LX Loft - Private Keypad Room,312283,S.K.,,Near South,39.9452,-82.97414,Private room,27,1,21,2021-02-10,6.49,23,88
